name,user_id,price,item_images,category,content
명품c++,2,12000,test1.png,도서,지은이:황기태 $!@#% 출판일:2018.03.05 $!@#% 페이지:696 개꿀잼임!
웹 프로그래밍(수정판),3,8000,test3.png,도서,지은이:이용규 $!@#% 출판일:2013.02.18 $!@#% 페이지:680 웹 초보자들을 위한 책입니다.
데이터베이스 배움터(개정3판),1,8500,test4.png,도서,지은이:홍의경 $!@#% 출판일:2014.01.20 $!@#% 페이지:562 프로그램과 DB연동을 자세히 설명해줘요
뉴벨런스 신발,2,15000,test2.png,신발,모델명:New Balance CRT 300 $!@#% size:260 $!@#% 4개월동안 착용했습니다. 몇번 안신어서 새거 같아요!!
나이키 신발,3,42000,test5.png,신발,모델명:Nike Epic React Flyknit $!@#% size:270 $!@#% 산지 한달 됬어요. 몇번 신다가 사이즈가 작아서 팔아요~!
나이키 신발,1,58000,test6.png,신발,모델명:Nike Air Max Women's $!@#% size:250 $!@#% 구매한지 3달된 신발입니다. 생각보다 사이즈가 작은점 고려해주세요.
노스페이스 패딩,2,93000,test7.png,의류,모델명:NJ1DJ54B $!@#% size:100(L) $!@#% 6개월정도 입었습니다. 옷 정리하다 남은 옷 팔아봐요!
롱패딩(안젤로),3,26000,test8.png,의류,모델명:MUNWJ465 $!@#% size:navy95(M) $!@#% 8개월 전에 구매했습니다. 옷이 작아져서 중고로 팔아요.
롱다운 자켓,1,88000,test9.png,의류,모델명:FS2DJA4003X $!@#% size:black(Free) $!@#% 허리 아래로 내려운 롱다운 자켓입니다. Size가 free라 편하게 입으실 수 있어요!
노트북,2,102000,test10.png,전자기기,엔티피시/DELL/E6430 풀사양입니다. $!@#% cpu는 i5 Ram은 8GB 256SSD내장되어 있어요 $!@#% 사용한지 1년밖에 안되서 속도 보장합니다!
컴퓨터,3,328000,test11.png,전자기기,엘지 데스크탑 PC 본체 A70EV.AR7301 입니다. $!@#% cpu는 is Ram은 8GB 128SSD내장되어 있습니다. $!@#% 추가적으로 궁굼한거 있으시면 편하게 연락주세요.
DSLR 카메라,1,354000,test12.png,전자기기,모델명:Nikon DSLR D7500 Body $!@#% 사용한지는 6개월 정도 됬는데 화질 엄청 좋게 나와요. $!@#% 여행갈때 가지고 가셔서 추억을 남기세요
축구공,2,10400,test13.png,스포츠용품,원산지:해외-아시아/파키스탄 $!@#% 축구 공인구 입니다. $!@#% 친구들이랑 5번 정도 사용했는데 차는 맛이 납니다. 취미로 축구하시는 분들 꼭 사가세요
농구공,3,6700,test14.png,스포츠용품,모델명:KOREA PS-일루션 농구공 7호 $!@#% 가격에 비해 공이 잘 튀깁니다. 농구 배우실려는 분들 사가세요!
테니스 라켓,1,19800,test15.png,스포츠용품,모델명:HEAD 테니스라켓 TOUR PRO NEW $!@#% 테니스 시작하시는 초심자 분들에게 적절한 초보자용 라켓입니다.
선풍기,2,23000,test16.png,가전제품,초절전 DC선풍기 $!@#% 초미세풍 3W 일본 기술력이 들어간 IA-14SFDC모델 입니다. $!@#% 나쁘지 않고 전력소모도 적어요
에어컨,3,134000,test17.png,가전제품,모델명:SQ06B8PWDS 벽걸이 에어컨 (LG휘센) $!@#% 자취하시는 분들 벽걸이 에어컨으로 더운 여름 피하세요~!
냉장고,1,200000,test18.png,가전제품,모델명:FR-G568RESK 562L 대우전자 일반 2도어 냉장고 $!@#% 산 가격의 3분의 1가격으로 팝니다. $!@#% 보시는 거와 같이 많은 물건들을 담을 수 있어요.
시계,2,130000,test19.png,기타,BURBERRY 버버리 남성시계 가죽밴드 BU9906 파슬코리아 정품입니다. $!@#% 새로운 시계를 마련해서 스타일리쉬한 패션을 완성하세요~!
에어팟,3,69000,test20.png,기타,모델명:AirPods MMEF2KH/A $!@#% 3개월 정도 사용했습니다. 음질 상태 양호하고 관리도 잘되서 새것 같아요!
노토북케이스,1,14000,test21.png,기타,모델명:INTC-270XD $!@#% 13인치와 15인치 하드타입 노트북가방 케이스 서류가방입니다. $!@#% 노트북을 바꿔서 팝니다. 생각보다 무겁지 않아서 좋아요!
